Population Profit
58.88637289 49.36313195
62.23680806 53.150748256
33.07120516 36.90848454
17.29705879 3.618925601
18.75561405 5.00846153
14.65944509 27.8221657
56.0569404 45.43804143
1.886170695 1.5338219
41.78953775 20.096871702
75.14668709 67.82347253
35.50543764 24.44815906
33.0961733 10.39690765
66.5784579 37.50712345
15.08800003 16.55640275
22.18654418 20.391547247
11.20528794 8.72845059
60.90880925 48.72707679
17.09176427 10.07348589
32.81671051 25.38590099
44.80293266 13.72476567
10.54010459 28.96040069
24.88732814 18.38840981
14.05910396 9.23158374
10.26514897 5.671397577
12.08805594 23.96777523
16.05183796 6.79920555
70.06374312 66.07370808
16.202367 9.077560903
2.008812606 1.80732673
30.86264334 33.19718651
